Data Quality Assurance and Flagging,,,,,
,,,,,
THIS IS FOR ASFS30,,,,,
,,,,,
Instrument / measurement,"date, time start","date, time end",Flag,Reason,Who
subsurface_heat_flux_A,20210928 000000,20210928 200900,2,appears to be equillibrating after installation,ccox
subsurface_heat_flux_A,20220813 233100,20220814 000000,1,something really does happen in the air here but this seems like an unrealistic response in the flux plate. caution,ccox
ALL_SOIL,20220130 235200,20220131 095900,2,spikes,ccox
ALL_SOIL,20220621 180000,20220622 000000,2,dying system,ccox
ALL_SOIL,20220519 234900,20220520 000000,2,dying system,ccox
k_eff_soil,20220622 000000,20220914 173000,1,mean value used here,ccox
k_eff_soil,20220519 000000,20220520 000000,1,persisted value,ccox
k_eff_soil,20220603 000000,20220603 195000,1,persisted value,ccox
k_eff_soil,20210928 000000,20210929 185700,2,install?,ccox
s_soil,20220130 235200,20220131 095900,2,spike,ccox
c_soil,20220130 235200,20220131 095900,2,spike,ccox
c_soil,20220622 000000,20220914 173000,1,dependent on k_eff,ccox
c_soil,20220519 000000,20220520 000000,1,dependent on k_eff,ccox
c_soil,20220603 000000,20220603 195000,1,dependent on k_eff,ccox
subsurface_heat_flux_A,20220622 000000,20220914 173000,1,dependent on k_eff,ccox
subsurface_heat_flux_A,20220519 000000,20220520 000000,1,dependent on k_eff,ccox
subsurface_heat_flux_A,20220603 000000,20220603 195000,1,dependent on k_eff,ccox
ALL_TURBULENCE,20211024 141000,20211024 142000,2,spike ,ccox
ALL_TURBULENCE,20211107 093000,20211107 094000,2,spike ,ccox
ALL_TURBULENCE,20211108 010000,20211108 011000,2,spike ,ccox
ALL_TURBULENCE,20211108 094000,20211108 095000,2,spike ,ccox
ALL_TURBULENCE,20211109 005000,20211109 010000,2,spike ,ccox
ALL_TURBULENCE,20211113 172000,20211113 173000,2,spike ,ccox
ALL_TURBULENCE,20211117 030000,20211117 031000,2,spike ,ccox
ALL_TURBULENCE,20211117 034000,20211117 035000,2,spike ,ccox
ALL_TURBULENCE,20211117 041000,20211117 042000,2,spike ,ccox
ALL_TURBULENCE,20211117 043000,20211117 044000,2,spike ,ccox
ALL_TURBULENCE,20211119 124000,20211119 125000,2,spike ,ccox
ALL_TURBULENCE,20211125 070000,20211125 071000,2,spike ,ccox
ALL_TURBULENCE,20211216 220000,20211216 221000,2,spike ,ccox
ALL_TURBULENCE,20211217 033000,20211217 034000,2,spike ,ccox
ALL_TURBULENCE,20211222 140000,20211222 141000,2,spike ,ccox
ALL_TURBULENCE,20211222 225000,20211222 230000,2,spike ,ccox
ALL_TURBULENCE,20211222 230000,20211222 231000,2,spike ,ccox
ALL_TURBULENCE,20211223 004000,20211223 005000,2,spike ,ccox
ALL_TURBULENCE,20211223 060000,20211223 061000,2,spike ,ccox
ALL_TURBULENCE,20211226 194000,20211226 195000,2,spike ,ccox
ALL_TURBULENCE,20220114 074000,20220114 075000,2,spike ,ccox
ALL_TURBULENCE,20220114 093000,20220114 094000,2,spike ,ccox
ALL_TURBULENCE,20220115 101000,20220115 102000,2,spike ,ccox
ALL_TURBULENCE,20220123 003000,20220123 004000,2,spike ,ccox
ALL_TURBULENCE,20220124 020000,20220124 021000,2,spike ,ccox
ALL_TURBULENCE,20220124 035000,20220124 040000,2,spike ,ccox
ALL_TURBULENCE,20220130 225000,20220130 230000,2,spike ,ccox
ALL_TURBULENCE,20220131 002000,20220131 003000,2,spike ,ccox
ALL_TURBULENCE,20220131 194000,20220131 195000,2,spike ,ccox
ALL_TURBULENCE,20220131 205000,20220131 210000,2,spike ,ccox
ALL_TURBULENCE,20220131 212000,20220131 213000,2,spike ,ccox
ALL_TURBULENCE,20220131 213000,20220131 214000,2,spike ,ccox
ALL_TURBULENCE,20220201 004000,20220201 005000,2,spike ,ccox
ALL_TURBULENCE,20220201 061000,20220201 062000,2,spike ,ccox
ALL_TURBULENCE,20220201 063000,20220201 064000,2,spike ,ccox
ALL_TURBULENCE,20220205 221000,20220205 222000,2,spike ,ccox
ALL_TURBULENCE,20220209 092000,20220209 093000,2,spike ,ccox
ALL_TURBULENCE,20220209 130000,20220209 131000,2,spike ,ccox
ALL_TURBULENCE,20220210 225000,20220210 230000,2,spike ,ccox
ALL_TURBULENCE,20220212 210000,20220212 211000,2,spike ,ccox
ALL_TURBULENCE,20220216 070000,20220216 071000,2,spike ,ccox
ALL_TURBULENCE,20220218 190000,20220218 191000,2,spike ,ccox
ALL_TURBULENCE,20220304 160000,20220304 161000,2,spike ,ccox
ALL_TURBULENCE,20220313 203000,20220313 204000,2,spike ,ccox
ALL_TURBULENCE,20220318 194000,20220318 195000,2,spike ,ccox
ALL_TURBULENCE,20220324 162000,20220324 163000,2,spike ,ccox
ALL_TURBULENCE,20220324 163000,20220324 164000,2,spike ,ccox
ALL_TURBULENCE,20220324 164000,20220324 165000,2,spike ,ccox
ALL_TURBULENCE,20220324 165000,20220324 170000,2,spike ,ccox
ALL_TURBULENCE,20220324 170000,20220324 171000,2,spike ,ccox
ALL_TURBULENCE,20220324 174000,20220324 175000,2,spike ,ccox
ALL_TURBULENCE,20220324 175000,20220324 180000,2,spike ,ccox
ALL_TURBULENCE,20220325 171000,20220325 172000,2,spike ,ccox
ALL_TURBULENCE,20220325 172000,20220325 173000,2,spike ,ccox
ALL_TURBULENCE,20220418 051000,20220418 052000,2,spike ,ccox
ALL_TURBULENCE,20220419 081000,20220419 082000,2,spike ,ccox
ALL_TURBULENCE,20220428 120000,20220428 121000,2,spike ,ccox
ALL_TURBULENCE,20220507 185000,20220507 190000,2,spike ,ccox
ALL_TURBULENCE,20220507 203000,20220507 204000,2,spike ,ccox
ALL_TURBULENCE,20220508 173000,20220508 174000,2,spike ,ccox
ALL_TURBULENCE,20220509 170000,20220509 171000,2,spike ,ccox
ALL_TURBULENCE,20220509 181000,20220509 182000,2,spike ,ccox
ALL_TURBULENCE,20220511 072000,20220511 073000,2,spike ,ccox
ALL_TURBULENCE,20220513 170000,20220513 171000,2,spike ,ccox
ALL_TURBULENCE,20220613 103000,20220613 104000,2,spike ,ccox
ALL_TURBULENCE,20220613 105000,20220613 110000,2,spike ,ccox
ALL_TURBULENCE,20220613 111000,20220613 112000,2,spike ,ccox
ALL_TURBULENCE,20220613 122000,20220613 123000,2,spike ,ccox
ALL_TURBULENCE,20220614 063000,20220614 064000,2,spike ,ccox
ALL_TURBULENCE,20220718 201000,20220718 202000,2,spike ,ccox
ALL_TURBULENCE,20220720 215000,20220720 220000,2,spike ,ccox
ALL_TURBULENCE,20220729 210000,20220729 211000,2,spike ,ccox
ALL_TURBULENCE,20220907 051000,20220907 052000,2,spike ,ccox
ALL_TURBULENCE,20220918 120000,20220918 121000,2,spike ,ccox
ALL_TURBULENCE,20220918 132000,20220918 133000,2,spike ,ccox
ALL_TURBULENCE,20220918 133000,20220918 134000,2,spike ,ccox
ALL_TURBULENCE,20221022 124000,20221022 125000,2,spike ,ccox
ALL_TURBULENCE,20221103 044000,20221103 045000,2,spike ,ccox
ALL_TURBULENCE,20221105 155000,20221105 160000,2,spike ,ccox
